"","Date","DirRigCount","HorzRigCount","VertRigCount","TotalRigCount","PerDirRig","PercHorzRig","PercVertRig"
"1","1991-01-04",81,100,927,1108,0.0731046931407942,0.0902527075812274,0.836642599277978
"2","1991-01-11",93,102,853,1048,0.0887404580152672,0.0973282442748092,0.813931297709924
"3","1991-01-18",100,102,863,1065,0.0938967136150235,0.0957746478873239,0.810328638497653
"4","1991-01-25",111,104,836,1051,0.105613701236917,0.09895337773549,0.795432921027593
"5","1991-02-01",122,106,768,996,0.122489959839357,0.106425702811245,0.771084337349398
"6","1991-02-08",123,99,775,997,0.123370110330993,0.0992978936810431,0.777331995987964
"7","1991-02-15",122,95,760,977,0.124872057318321,0.0972364380757421,0.777891504605937
"8","1991-02-22",128,99,740,967,0.132368148914168,0.102378490175801,0.765253360910031
"9","1991-03-01",121,95,733,949,0.127502634351949,0.100105374077977,0.772391991570074
"10","1991-03-08",124,89,735,948,0.130801687763713,0.0938818565400844,0.775316455696203
"11","1991-03-15",124,86,698,908,0.136563876651982,0.0947136563876652,0.768722466960352
"12","1991-03-22",115,87,709,911,0.126234906695939,0.0954994511525796,0.778265642151482
"13","1991-03-29",124,85,701,910,0.136263736263736,0.0934065934065934,0.77032967032967
"14","1991-04-05",124,79,678,881,0.140749148694665,0.0896708286038593,0.769580022701476
"15","1991-04-12",125,70,679,874,0.143020594965675,0.080091533180778,0.776887871853547
"16","1991-04-19",122,69,644,835,0.146107784431138,0.0826347305389222,0.77125748502994
"17","1991-04-26",123,68,633,824,0.149271844660194,0.0825242718446602,0.768203883495146
"18","1991-05-03",124,59,622,805,0.154037267080745,0.0732919254658385,0.772670807453416
"19","1991-05-10",130,60,612,802,0.162094763092269,0.0748129675810474,0.763092269326683
"20","1991-05-17",130,57,631,818,0.158924205378973,0.0696821515892421,0.771393643031785
"21","1991-05-24",120,66,660,846,0.141843971631206,0.0780141843971631,0.780141843971631
"22","1991-05-31",125,61,638,824,0.151699029126214,0.0740291262135922,0.774271844660194
"23","1991-06-07",121,73,656,850,0.142352941176471,0.0858823529411765,0.771764705882353
"24","1991-06-14",118,77,676,871,0.135476463834673,0.0884041331802526,0.776119402985075
"25","1991-06-21",112,75,679,866,0.12933025404157,0.0866050808314088,0.784064665127021
"26","1991-06-28",110,76,695,881,0.124858115777526,0.0862656072644722,0.788876276958002
"27","1991-07-05",106,73,680,859,0.123399301513388,0.0849825378346915,0.791618160651921
"28","1991-07-12",106,69,669,844,0.125592417061611,0.0817535545023697,0.792654028436019
"29","1991-07-19",105,65,658,828,0.126811594202899,0.0785024154589372,0.794685990338164
"30","1991-07-26",105,74,666,845,0.124260355029586,0.0875739644970414,0.788165680473373
"31","1991-08-02",109,71,651,831,0.131167268351384,0.085439229843562,0.783393501805054
"32","1991-08-09",105,63,628,796,0.131909547738693,0.0791457286432161,0.788944723618091
"33","1991-08-16",107,62,628,797,0.134253450439147,0.0777917189460477,0.787954830614806
"34","1991-08-23",105,61,626,792,0.132575757575758,0.077020202020202,0.79040404040404
"35","1991-08-30",106,65,628,799,0.132665832290363,0.081351689612015,0.785982478097622
"36","1991-09-06",101,65,632,798,0.1265664160401,0.081453634085213,0.791979949874687
"37","1991-09-13",101,69,588,758,0.133245382585752,0.0910290237467019,0.775725593667546
"38","1991-09-20",95,71,604,770,0.123376623376623,0.0922077922077922,0.784415584415584
"39","1991-09-27",92,72,611,775,0.118709677419355,0.0929032258064516,0.788387096774194
"40","1991-10-04",91,72,623,786,0.115776081424936,0.0916030534351145,0.792620865139949
"41","1991-10-11",86,74,636,796,0.108040201005025,0.092964824120603,0.798994974874372
"42","1991-10-18",90,71,636,797,0.112923462986198,0.0890840652446675,0.797992471769134
"43","1991-10-25",93,67,641,801,0.116104868913858,0.083645443196005,0.800249687890137
"44","1991-11-01",93,70,630,793,0.117276166456494,0.0882723833543506,0.794451450189155
"45","1991-11-08",93,64,639,796,0.116834170854271,0.0804020100502513,0.802763819095477
"46","1991-11-15",87,60,656,803,0.108343711083437,0.074719800747198,0.816936488169365
"47","1991-11-22",89,67,672,828,0.107487922705314,0.0809178743961353,0.811594202898551
"48","1991-11-29",94,65,663,822,0.114355231143552,0.0790754257907543,0.806569343065694
"49","1991-12-06",86,65,663,814,0.105651105651106,0.0798525798525799,0.814496314496315
"50","1991-12-13",91,64,647,802,0.113466334164589,0.0798004987531172,0.806733167082294
"51","1991-12-20",92,66,639,797,0.11543287327478,0.082810539523212,0.801756587202008
"52","1991-12-27",86,61,623,770,0.111688311688312,0.0792207792207792,0.809090909090909
"53","1992-01-03",88,62,614,764,0.115183246073298,0.081151832460733,0.803664921465969
"54","1992-01-10",95,61,576,732,0.129781420765027,0.0833333333333333,0.786885245901639
"55","1992-01-17",91,61,564,716,0.127094972067039,0.085195530726257,0.787709497206704
"56","1992-01-24",92,59,535,686,0.134110787172012,0.0860058309037901,0.779883381924198
"57","1992-01-31",94,54,505,653,0.143950995405819,0.0826952526799388,0.773353751914242
"58","1992-02-07",95,61,518,674,0.140949554896142,0.0905044510385757,0.768545994065282
"59","1992-02-14",95,54,512,661,0.143721633888048,0.0816944024205749,0.774583963691377
"60","1992-02-21",94,50,523,667,0.140929535232384,0.0749625187406297,0.784107946026987
"61","1992-02-28",99,51,523,673,0.147102526002972,0.0757800891530461,0.777117384843982
"62","1992-03-06",99,50,511,660,0.15,0.0757575757575758,0.774242424242424
"63","1992-03-13",102,53,494,649,0.157164869029276,0.0816640986132511,0.761171032357473
"64","1992-03-20",100,50,493,643,0.15552099533437,0.0777604976671851,0.766718506998445
"65","1992-03-27",99,51,489,639,0.154929577464789,0.07981220657277,0.765258215962441
"66","1992-04-03",103,56,499,658,0.156534954407295,0.0851063829787234,0.758358662613982
"67","1992-04-10",99,55,494,648,0.152777777777778,0.0848765432098765,0.762345679012346
"68","1992-04-17",101,57,481,639,0.158059467918623,0.0892018779342723,0.752738654147105
"69","1992-04-24",93,60,470,623,0.149277688603531,0.0963081861958267,0.754414125200642
"70","1992-05-01",89,59,486,634,0.140378548895899,0.0930599369085174,0.766561514195584
"71","1992-05-08",87,58,490,635,0.137007874015748,0.0913385826771654,0.771653543307087
"72","1992-05-15",92,56,504,652,0.141104294478528,0.0858895705521472,0.773006134969325
"73","1992-05-22",88,64,486,638,0.137931034482759,0.100313479623824,0.761755485893417
"74","1992-05-29",82,62,485,629,0.130365659777424,0.0985691573926868,0.771065182829889
"75","1992-06-05",81,58,471,610,0.132786885245902,0.0950819672131148,0.772131147540984
"76","1992-06-12",81,56,459,596,0.135906040268456,0.0939597315436242,0.77013422818792
"77","1992-06-19",76,61,495,632,0.120253164556962,0.0965189873417722,0.783227848101266
"78","1992-06-26",81,58,506,645,0.125581395348837,0.089922480620155,0.784496124031008
"79","1992-07-03",84,55,509,648,0.12962962962963,0.0848765432098765,0.785493827160494
"80","1992-07-10",82,57,528,667,0.122938530734633,0.0854572713643178,0.79160419790105
"81","1992-07-17",81,56,552,689,0.117561683599419,0.081277213352685,0.801161103047895
"82","1992-07-24",78,56,554,688,0.113372093023256,0.0813953488372093,0.805232558139535
"83","1992-07-31",75,60,555,690,0.108695652173913,0.0869565217391304,0.804347826086957
"84","1992-08-07",81,58,570,709,0.114245416078985,0.0818053596614951,0.803949224259521
"85","1992-08-14",78,59,541,678,0.115044247787611,0.0870206489675516,0.797935103244838
"86","1992-08-21",76,56,557,689,0.110304789550073,0.081277213352685,0.808417997097242
"87","1992-08-28",67,52,549,668,0.100299401197605,0.0778443113772455,0.82185628742515
"88","1992-09-04",66,53,587,706,0.0934844192634561,0.075070821529745,0.831444759206799
"89","1992-09-11",66,50,571,687,0.0960698689956332,0.0727802037845706,0.831149927219796
"90","1992-09-18",64,48,608,720,0.0888888888888889,0.0666666666666667,0.844444444444445
"91","1992-09-25",67,47,641,755,0.0887417218543046,0.0622516556291391,0.849006622516556
"92","1992-10-02",67,51,638,756,0.0886243386243386,0.0674603174603175,0.843915343915344
"93","1992-10-09",76,51,660,787,0.096569250317662,0.0648030495552732,0.838627700127065
"94","1992-10-16",71,49,683,803,0.0884184308841843,0.0610211706102117,0.850560398505604
"95","1992-10-23",77,47,706,830,0.0927710843373494,0.0566265060240964,0.850602409638554
"96","1992-10-30",79,44,715,838,0.094272076372315,0.0525059665871122,0.853221957040573
"97","1992-11-06",76,44,733,853,0.0890973036342321,0.0515826494724502,0.859320046893318
"98","1992-11-13",80,45,760,885,0.0903954802259887,0.0508474576271186,0.858757062146893
"99","1992-11-20",83,46,761,890,0.0932584269662921,0.051685393258427,0.855056179775281
"100","1992-11-27",86,48,765,899,0.0956618464961068,0.053392658509455,0.850945494994438
"101","1992-12-04",87,45,782,914,0.0951859956236324,0.0492341356673961,0.855579868708972
"102","1992-12-11",89,53,788,930,0.0956989247311828,0.056989247311828,0.847311827956989
"103","1992-12-18",92,53,790,935,0.0983957219251337,0.0566844919786096,0.844919786096257
"104","1992-12-23",88,50,790,928,0.0948275862068965,0.0538793103448276,0.851293103448276
"105","1992-12-30",85,48,789,922,0.0921908893709328,0.052060737527115,0.855748373101952
"106","1993-01-08",89,48,766,903,0.0985603543743079,0.053156146179402,0.84828349944629
"107","1993-01-15",85,44,709,838,0.101431980906921,0.0525059665871122,0.846062052505967
"108","1993-01-22",92,46,656,794,0.115869017632242,0.0579345088161209,0.826196473551637
"109","1993-01-29",92,47,623,762,0.120734908136483,0.0616797900262467,0.81758530183727
"110","1993-02-05",91,47,582,720,0.126388888888889,0.0652777777777778,0.808333333333333
"111","1993-02-12",86,44,568,698,0.123209169054441,0.0630372492836676,0.813753581661891
"112","1993-02-19",85,42,529,656,0.129573170731707,0.0640243902439024,0.80640243902439
"113","1993-02-26",88,44,531,663,0.132730015082956,0.0663650075414781,0.800904977375566
"114","1993-03-05",80,45,495,620,0.129032258064516,0.0725806451612903,0.798387096774194
"115","1993-03-12",72,47,481,600,0.12,0.0783333333333333,0.801666666666667
"116","1993-03-19",74,43,497,614,0.120521172638436,0.0700325732899023,0.809446254071661
"117","1993-03-26",76,40,494,610,0.124590163934426,0.0655737704918033,0.809836065573771
"118","1993-03-31",80,43,504,627,0.127591706539075,0.0685805422647528,0.803827751196172
"119","1993-04-08",80,46,489,615,0.130081300813008,0.0747967479674797,0.795121951219512
"120","1993-04-16",80,44,479,603,0.132669983416252,0.0729684908789387,0.794361525704809
"121","1993-04-23",80,44,484,608,0.131578947368421,0.0723684210526316,0.796052631578947
"122","1993-04-30",79,48,482,609,0.129720853858785,0.0788177339901478,0.791461412151067
"123","1993-05-07",77,50,490,617,0.124797406807131,0.0810372771474878,0.794165316045381
"124","1993-05-14",83,48,488,619,0.134087237479806,0.0775444264943457,0.788368336025848
"125","1993-05-21",90,48,503,641,0.140405616224649,0.0748829953198128,0.784711388455538
"126","1993-05-28",99,47,525,671,0.147540983606557,0.0700447093889717,0.782414307004471
"127","1993-06-04",100,48,538,686,0.145772594752187,0.0699708454810496,0.784256559766764
"128","1993-06-11",108,46,557,711,0.151898734177215,0.0646976090014065,0.783403656821378
"129","1993-06-18",95,44,542,681,0.139500734214391,0.0646108663729809,0.795888399412628
"130","1993-06-25",92,52,558,702,0.131054131054131,0.0740740740740741,0.794871794871795
"131","1993-07-02",93,61,578,732,0.127049180327869,0.0833333333333333,0.789617486338798
"132","1993-07-09",85,58,570,713,0.119214586255259,0.0813464235624123,0.799438990182328
"133","1993-07-16",86,59,575,720,0.119444444444444,0.0819444444444444,0.798611111111111
"134","1993-07-23",93,59,613,765,0.12156862745098,0.077124183006536,0.801307189542484
"135","1993-07-30",92,59,625,776,0.118556701030928,0.0760309278350516,0.805412371134021
