"","Date","Oil","Gas","Misc","Total","X..Oil","X..Gas"
"1",1987-07-17,559,337,26,922,0.606290672451193,0.365509761388286
"2",1987-07-24,565,331,21,917,0.616139585605234,0.360959651035987
"3",1987-07-31,605,346,22,973,0.621788283658787,0.355601233299075
"4",1987-08-07,613,349,21,983,0.623601220752798,0.355035605289929
"5",1987-08-14,620,352,26,998,0.62124248496994,0.352705410821643
"6",1987-08-21,627,354,31,1012,0.619565217391304,0.349802371541502
"7",1987-08-28,665,361,23,1049,0.63393708293613,0.344137273593899
"8",1987-09-04,704,369,26,1099,0.640582347588717,0.335759781619654
"9",1987-09-11,718,364,26,1108,0.648014440433213,0.328519855595668
"10",1987-09-18,711,367,23,1101,0.645776566757493,0.333333333333333
"11",1987-09-25,718,356,20,1094,0.656307129798903,0.325411334552102
"12",1987-10-02,721,367,39,1127,0.639751552795031,0.32564330079858
"13",1987-10-09,723,378,3,1104,0.654891304347826,0.342391304347826
"14",1987-10-16,725,391,18,1134,0.639329805996473,0.344797178130512
"15",1987-10-23,740,372,18,1130,0.654867256637168,0.329203539823009
"16",1987-10-30,738,374,19,1131,0.652519893899204,0.330680813439434
"17",1987-11-06,734,387,20,1141,0.643295354951797,0.339176161262051
"18",1987-11-13,760,393,21,1174,0.647359454855196,0.334752981260647
"19",1987-11-20,746,386,20,1152,0.647569444444444,0.335069444444444
"20",1987-11-27,750,389,22,1161,0.645994832041344,0.335055986218777
"21",1987-12-04,757,394,1,1152,0.657118055555556,0.342013888888889
"22",1987-12-11,764,399,18,1181,0.646909398814564,0.337849280270957
"23",1987-12-18,745,405,18,1168,0.637842465753425,0.346746575342466
"24",1987-12-25,716,412,17,1145,0.625327510917031,0.359825327510917
"25",1988-01-01,710,392,19,1121,0.633363068688671,0.349687778768956
"26",1988-01-08,689,390,23,1102,0.625226860254084,0.353901996370236
"27",1988-01-15,641,392,21,1054,0.608159392789374,0.371916508538899
"28",1988-01-22,611,390,25,1026,0.59551656920078,0.380116959064327
"29",1988-01-29,573,366,25,964,0.594398340248963,0.379668049792531
"30",1988-02-05,580,381,25,986,0.588235294117647,0.386409736308316
"31",1988-02-12,557,385,26,968,0.575413223140496,0.397727272727273
"32",1988-02-19,575,377,26,978,0.587934560327198,0.385480572597137
"33",1988-02-26,592,365,26,983,0.602238046795524,0.371312309257375
"34",1988-03-04,591,360,27,978,0.604294478527607,0.368098159509202
"35",1988-03-11,572,342,32,946,0.604651162790698,0.361522198731501
"36",1988-03-18,583,326,34,943,0.618239660657476,0.345705196182397
"37",1988-03-25,580,322,33,935,0.620320855614973,0.344385026737968
"38",1988-04-01,577,330,34,941,0.613177470775771,0.350690754516472
"39",1988-04-08,566,315,35,916,0.617903930131004,0.343886462882096
"40",1988-04-15,560,310,34,904,0.619469026548673,0.342920353982301
"41",1988-04-22,566,307,35,908,0.623348017621145,0.338105726872247
"42",1988-04-29,541,308,31,880,0.614772727272727,0.35
"43",1988-05-06,563,308,26,897,0.627647714604236,0.343366778149387
"44",1988-05-13,557,299,27,883,0.630804077010193,0.338618346545866
"45",1988-05-20,571,291,30,892,0.640134529147982,0.326233183856502
"46",1988-05-27,576,295,34,905,0.63646408839779,0.325966850828729
"47",1988-06-03,562,304,32,898,0.625835189309577,0.338530066815145
"48",1988-06-10,544,310,35,889,0.611923509561305,0.348706411698538
"49",1988-06-17,550,321,34,905,0.607734806629834,0.354696132596685
"50",1988-06-24,558,301,35,894,0.624161073825503,0.33668903803132
"51",1988-07-01,572,314,35,921,0.621064060803475,0.340933767643865
"52",1988-07-08,573,318,35,926,0.618790496760259,0.34341252699784
"53",1988-07-15,565,297,37,899,0.628476084538376,0.330367074527253
"54",1988-07-22,560,308,35,903,0.62015503875969,0.341085271317829
"55",1988-07-29,549,314,31,894,0.614093959731544,0.351230425055928
"56",1988-08-05,575,340,30,945,0.608465608465609,0.35978835978836
"57",1988-08-12,572,335,33,940,0.608510638297872,0.356382978723404
"58",1988-08-19,566,342,29,937,0.604055496264675,0.364994663820704
"59",1988-08-26,561,346,28,935,0.6,0.370053475935829
"60",1988-09-02,526,381,26,933,0.563772775991426,0.408360128617363
"61",1988-09-09,513,399,26,938,0.546908315565032,0.425373134328358
"62",1988-09-16,499,396,26,921,0.541802388707926,0.429967426710098
"63",1988-09-23,510,383,24,917,0.556161395856052,0.417666303162486
"64",1988-09-30,523,370,25,918,0.569716775599129,0.403050108932462
"65",1988-10-07,514,372,28,914,0.562363238512035,0.407002188183807
"66",1988-10-14,524,373,28,925,0.566486486486487,0.403243243243243
"67",1988-10-21,526,379,28,933,0.563772775991426,0.406216505894963
"68",1988-10-28,504,391,28,923,0.546045503791983,0.423618634886241
"69",1988-11-04,505,416,21,942,0.536093418259023,0.441613588110403
"70",1988-11-11,471,403,23,897,0.525083612040134,0.449275362318841
"71",1988-11-18,491,409,23,923,0.531960996749729,0.443120260021669
"72",1988-11-25,494,395,22,911,0.542261251372119,0.433589462129528
"73",1988-12-02,487,397,21,905,0.538121546961326,0.438674033149171
"74",1988-12-09,512,390,20,922,0.55531453362256,0.422993492407809
"75",1988-12-16,510,400,20,930,0.548387096774194,0.43010752688172
"76",1988-12-23,519,400,21,940,0.552127659574468,0.425531914893617
"77",1988-12-30,505,384,19,908,0.556167400881057,0.422907488986784
"78",1989-01-06,475,375,22,872,0.544724770642202,0.430045871559633
"79",1989-01-13,470,346,24,840,0.55952380952381,0.411904761904762
"80",1989-01-20,412,354,23,789,0.522179974651458,0.448669201520913
"81",1989-01-27,414,362,21,797,0.519447929736512,0.454203262233375
"82",1989-02-03,396,363,21,780,0.507692307692308,0.465384615384615
"83",1989-02-10,389,334,23,746,0.521447721179625,0.447721179624665
